Date : 2021-03-07 22:19:30
Directory : /home/andryh/dev/repos/Zanysound/src
Total : 201 files,  24989 codes, 1242 comments, 2300 blanks, all 28531 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |        156 |     13,828 |      1,068 |      1,956 |     16,852 |
| JSON             |         10 |     10,091 |          0 |          7 |     10,098 |
| Markdown         |          3 |        291 |          0 |        148 |        439 |
| YAML             |          8 |        218 |          0 |         47 |        265 |
| Java             |          3 |        126 |         25 |         19 |        170 |
| Groovy           |          3 |        124 |        116 |         29 |        269 |
| Objective-C      |          3 |        106 |          0 |         29 |        135 |
| XML              |          5 |         80 |          2 |         12 |         94 |
| Batch            |          1 |         76 |          0 |         25 |        101 |
| Shell Script     |          5 |         25 |         12 |         13 |         50 |
| JavaScript React |          1 |         11 |          0 |          3 |         14 |
| Properties       |          2 |          8 |         19 |          8 |         35 |
| C++              |          1 |          5 |          0 |          4 |          9 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |        201 |     24,989 |      1,242 |      2,300 |     28,531 |
| api                                                                                                                                                               |          1 |        104 |          0 |         21 |        125 |
| auth                                                                                                                                                              |          1 |         95 |          1 |         22 |        118 |
| components                                                                                                                                                        |         45 |      3,417 |         81 |        412 |      3,910 |
| components/OptionList                                                                                                                                             |          3 |         57 |          0 |         10 |         67 |
| components/Player                                                                                                                                                 |          5 |        754 |         10 |         64 |        828 |
| components/PlayerPlaylistContainer                                                                                                                                |          2 |        165 |         27 |         30 |        222 |
| components/PlayerUI                                                                                                                                               |          2 |        167 |          0 |         13 |        180 |
| components/Song                                                                                                                                                   |          1 |        237 |          1 |         29 |        267 |
| components/screens                                                                                                                                                |          7 |        472 |         32 |         71 |        575 |
| components/screens/CollectionScreen                                                                                                                               |          3 |         77 |          0 |         11 |         88 |
| consts                                                                                                                                                            |          3 |         18 |          0 |          5 |         23 |
| errors                                                                                                                                                            |          1 |          7 |          0 |          2 |          9 |
| helpers                                                                                                                                                           |         10 |      1,100 |         14 |        248 |      1,362 |
| hooks                                                                                                                                                             |          7 |        112 |          0 |         29 |        141 |
| i18n                                                                                                                                                              |          2 |        129 |          0 |          5 |        134 |
| lib                                                                                                                                                               |         77 |     18,270 |      1,082 |      1,171 |     20,523 |
| lib/ytdl                                                                                                                                                          |         77 |     18,270 |      1,082 |      1,171 |     20,523 |
| lib/ytdl/__AUTO_PATCHER__                                                                                                                                         |         15 |      1,697 |        109 |        250 |      2,056 |
| lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__                                                                                                      |          8 |      1,631 |         89 |        221 |      1,941 |
| lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib                                                                                                  |          6 |      1,518 |         89 |        166 |      1,773 |
| lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__                                                             |          5 |      1,452 |         77 |        147 |      1,676 |
| lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/m3u8stream                                                  |          1 |         28 |         11 |          2 |         41 |
| lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/miniget                                                     |          1 |         45 |          3 |         11 |         59 |
| lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/sax                                                         |          2 |      1,369 |         63 |        131 |      1,563 |
| lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/timers                                                      |          1 |         10 |          0 |          3 |         13 |
| lib/ytdl/__AUTO_PATCHER__/jscodeshift_scripts                                                                                                                     |          2 |         41 |          8 |         16 |         65 |
| lib/ytdl/__AUTO_PATCHER__/shell_scripts                                                                                                                           |          5 |         25 |         12 |         13 |         50 |
| lib/ytdl/lib                                                                                                                                                      |         27 |      5,756 |        774 |        696 |      7,226 |
| lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__                                                                                                                 |         18 |      4,042 |        451 |        447 |      4,940 |
| lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/m3u8stream                                                                                                      |          1 |         28 |         11 |          2 |         41 |
| lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/miniget                                                                                                         |          1 |         45 |          3 |         11 |         59 |
| lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/sax                                                                                                             |          2 |      1,369 |         63 |        131 |      1,563 |
| lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/timers                                                                                                          |          1 |         10 |          0 |          3 |         13 |
| lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib                                                                                                          |         13 |      2,590 |        374 |        300 |      3,264 |
| lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.github                                                                                                  |          6 |        194 |          0 |         45 |        239 |
