"filename", "language", "JavaScript", "Objective-C", "JSON", "XML", "C++", "JavaScript React", "Markdown", "CSS", "YAML", "Shell Script", "Groovy", "Properties", "Batch", "Java", "comment", "blank", "total"
"c:\dev\repos\ZanysoundApp\.eslintrc.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\repos\ZanysoundApp\.prettierrc.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\dev\repos\ZanysoundApp\.watchmanconfig", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\dev\repos\ZanysoundApp\App.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 144
"c:\dev\repos\ZanysoundApp\__tests__\App-test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\dev\repos\ZanysoundApp\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 111, 21, 221
"c:\dev\repos\ZanysoundApp\android\app\release\output.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\dev\repos\ZanysoundApp\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\dev\repos\ZanysoundApp\android\app\src\debug\java\com\zanysoundapp\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 8, 6, 73
"c:\dev\repos\ZanysoundApp\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\dev\repos\ZanysoundApp\android\app\src\main\java\com\zanysoundapp\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 4, 16
"c:\dev\repos\ZanysoundApp\android\app\src\main\java\com\zanysoundapp\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 13, 10, 89
"c:\dev\repos\ZanysoundApp\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\repos\ZanysoundApp\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 12
"c:\dev\repos\ZanysoundApp\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 4, 38
